26;47;5
33;44;5
41;40;5
48;45;5
51;53;5
52;62;5
57;69;5
58;80;5
59;88;5
61;95;5
66;102;5
72;106;5
77;111;5
82;117;5
87;122;5
92;127;5
98;131;5
105;136;5
112;139;5
119;143;5
126;146;5
136;150;5
144;152;5
152;153;5
160;154;5
168;154;5
176;154;5
183;153;5
190;152;5
198;150;5
207;147;5
215;143;5
224;140;5
232;137;5
241;131;5
249;128;5
258;124;5
266;119;5
275;119;5
284;119;5
290;129;5
289;137;5
287;146;5
285;153;5
280;160;5
276;166;5
272;171;5
268;177;5
261;181;5
252;186;5
257;192;5
257;200;5
253;209;5
247;215;5
241;222;5
235;228;5
228;235;5
220;239;5
213;244;5
205;248;5
195;251;5
185;254;5
175;256;5
163;256;5
151;256;5
140;255;5
128;254;5
118;252;5
107;249;5
96;246;5
87;240;5
77;235;5
68;229;5
60;224;5
53;217;5
46;210;5
39;204;5
32;195;5
26;187;5
21;178;5
16;166;5
12;154;5
9;143;5
10;133;5
11;123;5
15;113;5
20;104;5
25;96;5
26;86;5
26;76;5
24;67;5
24;56;5
46;70;5
47;81;5
47;87;5
47;97;5
48;105;5
52;111;5
56;119;5
60;124;5
63;132;5
66;138;5
70;147;5
76;155;5
81;162;5
88;169;5
94;174;5
100;179;5
109;183;5
119;188;5
127;192;5
136;195;5
144;196;5
153;196;5
162;196;5
172;197;5
180;196;5
189;194;5
197;191;5
205;189;5
214;188;5
222;186;5
231;184;5
241;184;5
1;1;20
103;67;5
